panel,record_type,context,regime_or_state,method,share,query,view,value,ci95_low,ci95_high,metric,owning_section,note
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BCR,0,-0.24682837577798705,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BCR,0,-0.15227792691374556,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BNIP1,0,0.048479098431951195,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BNIP1,0,0.04365007371630214,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BNIP1,0,0.045913732384753825,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BRD4,0,0.017001076425635392,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BRD4,0,0.06837546877036223,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BRD4,0,-0.09055971089598792,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,BTAF1,0,-0.04254612264822376,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,BTAF1,0,-0.017234870934230304,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,BTAF1,0,-0.08567795595008604,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,C14orf178,0,0.09511239944904848,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,C14orf178,0,0.07816231075225821,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,C14orf178,0,0.0778241003467024,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,C17orf58,0,0.2817807439313261,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,C17orf58,0,0.29633596289241837,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,C17orf58,0,0.14346070073822773,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,C7orf26,0,0.255413265297037,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,C7orf26,0,0.2588964046587783,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,C7orf26,0,0.12031750273050923,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CA5A,0,-0.053690240898364945,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CA5A,0,0.010123691916308901,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CA5A,0,-0.1117306986484686,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CABIN1,0,0.141239537686351,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CABIN1,0,0.10859427088048554,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CABIN1,0,0.08832449177832731,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CACTIN,0,0.13338479625311328,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CACTIN,0,0.10760611784147711,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CACTIN,0,0.08571633227893538,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CARS,0,0.04023792446703578,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CARS,0,0.013991736280972278,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CARS,0,-0.03260201332424084,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CASC3,0,0.2860472244085808,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CASC3,0,0.3060778112465386,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CASC3,0,0.09675913774442518,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CAST,0,0.13752760106756878,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CAST,0,0.1296374750636401,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CAST,0,1.922524364150746e-07,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CBLL1,0,0.21630465324485632,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CBLL1,0,0.22733367537280214,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CBLL1,0,0.2234319515749218,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,full_measured,VCDesign-CED minus Base,,CCAR1,0,-0.09127192229222919,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,size_controlled,VCDesign-CED minus Base,,CCAR1,0,-0.07316077964407834,,,paired delta BU@20,sec:context,query-view row
b,source_row,RPE1,response_unseen,VCDesign-CED minus Base,,CCAR1,0,-0.06064236240815069,,,paired delta BU@20,sec:context,query-view row
