query,view,goal_blind_mbu,forward_match_mbu,base_mbu,text_mbu,vcdesign_ced_mbu,ced_minus_base,ced_minus_text,base_hvhit_10,base_hvhit_20,base_hvhit_50,text_hvhit_10,text_hvhit_20,text_hvhit_50,vcdesign_ced_hvhit_10,vcdesign_ced_hvhit_20,vcdesign_ced_hvhit_50,owning_section
ESYT1,1,-0.005713197740939291,0.2224743664324759,0.5922801679395725,0.4745793459672254,0.6218676278121893,0.029587459872616795,0.1472882818449639,7.0,10.0,12.0,6.0,9.0,9.0,7.0,12.0,15.0,sec:heldout
NUDCD1,1,-0.35569631834609744,-0.07085654649633923,-0.03110377016675361,-0.06017841578285388,0.005079590204439539,0.03618336037119315,0.06525800598729342,1.0,1.0,5.0,1.0,1.0,7.0,0.0,1.0,3.0,sec:heldout
RPL34,1,0.37869389276556936,0.5599491986928723,0.6188603463456134,0.5808573352809995,0.6696946548853746,0.05083430853976123,0.08883731960437513,9.0,16.0,18.0,9.0,15.0,16.0,9.0,16.0,27.0,sec:heldout
EIF2S3,1,0.32495647413939516,0.4529493972467069,0.506757680356508,0.5731598093207241,0.5696532265274041,0.0628955461708961,-0.0035065827933199456,5.0,7.0,11.0,6.0,6.0,10.0,6.0,9.0,18.0,sec:heldout
UBIAD1,1,-0.39953156789486627,0.1748510316659291,-0.056187621367791485,-0.20479399408328827,0.16280556505394186,0.21899318642173335,0.36759955913723014,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,sec:heldout
ARHGEF10,1,-0.0036827668915530853,-0.08239842163064856,-0.0158034229763668,-0.18202524237506576,-0.008241888751579381,0.0075615342247874195,0.17378335362348638,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,sec:heldout
CLTA,1,-0.0350220061032415,-0.07719295341561129,-0.2297144870796224,0.08930957863712607,-0.1952151779635246,0.034499309116097776,-0.2845247566006507,0.0,0.0,0.0,2.0,2.0,3.0,0.0,0.0,0.0,sec:heldout
HDAC3,1,0.04307582070664967,-0.0409779919511956,0.3599912965021111,0.3625720404790244,0.3107120460096875,-0.0492792504924236,-0.05185999446933692,2.0,3.0,10.0,3.0,4.0,7.0,1.0,4.0,12.0,sec:heldout
HSF4,1,-0.30507792352265645,0.04632800303494313,0.3440368241912541,0.32789542906983365,0.3280796419714225,-0.01595718221983161,0.00018421290158882053,6.0,9.0,14.0,5.0,9.0,14.0,5.0,10.0,17.0,sec:heldout
CPSF3,1,0.24110632382035893,0.15791802899140858,0.4326421896676567,0.4576051356989943,0.4848682183765947,0.052226028708938,0.027263082677600414,5.0,7.0,10.0,7.0,10.0,11.0,6.0,7.0,14.0,sec:heldout
TYK2,1,0.20388449820136376,0.14379388334105528,0.3945175191446137,0.3232871960155769,0.4048203796582288,0.01030286051361512,0.08153318364265189,4.0,5.0,11.0,6.0,8.0,8.0,4.0,6.0,12.0,sec:heldout
TRIR,1,0.11104130159745003,-0.1584508780538101,-0.2595168141349817,-0.14654997521191016,-0.21994374780003115,0.03957306633495053,-0.07339377258812099,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,sec:heldout
HEXIM1,1,-0.16254668227193378,0.053720940202852896,0.06343312137996411,0.20986538692893827,0.08995566855302206,0.02652254717305795,-0.11990971837591621,0.0,1.0,6.0,2.0,4.0,7.0,1.0,5.0,7.0,sec:heldout
SMARCB1,1,0.0651225937872085,0.31450813208525,0.19841935981658518,0.30920799036717683,0.3395956608495714,0.1411763010329862,0.030387670482394546,3.0,5.0,5.0,5.0,9.0,11.0,3.0,4.0,10.0,sec:heldout
POU2F2,1,-0.013211079947437893,0.032600527102433205,-0.03282854895928974,-0.1546975426455598,-0.07230141600314761,-0.03947286704385788,0.08239612664241218,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,sec:heldout
EIF4A1,1,0.5519369241563812,0.2271676585988962,0.420361447936536,0.31000187477051494,0.461688066462653,0.041326618526116965,0.15168619169213804,4.0,9.0,15.0,4.0,7.0,9.0,6.0,10.0,15.0,sec:heldout
EHMT2,1,0.300515101163868,-0.020151665580698426,0.2653415765054392,0.43796894772648937,0.3300167873620163,0.06467521085657707,-0.10795216036447308,3.0,6.0,6.0,5.0,10.0,10.0,3.0,5.0,10.0,sec:heldout
TINF2,1,0.11975115729617014,0.4579317898185417,0.6586796164338633,0.5758036038991244,0.6999080261020648,0.041228409668201516,0.12410442220294038,8.0,12.0,17.0,6.0,8.0,10.0,8.0,13.0,15.0,sec:heldout
MYL6,1,0.03194477081601891,-0.09499554611591808,-0.0433276904392755,-0.2915572916341261,-0.07981089191416543,-0.03648320147488993,0.21174639971996065,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,sec:heldout
TPR,1,0.3023997302646696,0.03139745656535978,0.4185086481721702,0.5828682254857876,0.45805489994474113,0.03954625177257093,-0.12481332554104652,7.0,11.0,11.0,8.0,14.0,17.0,7.0,11.0,15.0,sec:heldout
EIF3J,1,0.3240245395882642,0.18545476302853325,0.5670504528928814,0.5490968150876807,0.5786428568062946,0.011592403913413207,0.029546041718613858,6.0,8.0,13.0,7.0,10.0,14.0,6.0,10.0,14.0,sec:heldout
ZNF445,1,0.05540846611485495,-0.046469292188433854,0.031249876086829026,0.0729365125872822,0.23211408562791783,0.2008642095410888,0.15917757304063562,2.0,2.0,3.0,3.0,6.0,7.0,2.0,4.0,7.0,sec:heldout
LAMTOR3,1,0.38385937780923013,-0.020636273790474637,0.4146293215540611,0.5057024354148237,0.38818388134598186,-0.026445440208079263,-0.11751855406884187,3.0,7.0,8.0,5.0,7.0,9.0,3.0,6.0,12.0,sec:heldout
CSTF2,1,-0.4317839603475682,0.1527724072662193,-0.02920357848899523,-0.030466395217092882,0.09463032840201535,0.12383390689101058,0.12509672361910823,0.0,0.0,4.0,0.0,0.0,1.0,1.0,2.0,4.0,sec:heldout
RTRAF,1,0.1546041812085077,0.6341649789847974,0.6101670497430424,0.6854035827184406,0.6416910136166201,0.0315239638735777,-0.04371256910182053,7.0,11.0,19.0,9.0,13.0,18.0,7.0,12.0,21.0,sec:heldout
PPIA,1,-0.075962224950706,0.16440481534594997,-0.09012887476333926,-0.0255732649489078,0.10617248897840503,0.19630136374174428,0.13174575392731283,0.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,3.0,sec:heldout
DERL2,1,0.3875087676164346,0.09940576158595649,0.4518729607442363,0.49200727651802206,0.5205684886673075,0.06869552792307126,0.028561212149285475,7.0,9.0,11.0,6.0,11.0,13.0,8.0,10.0,15.0,sec:heldout
CPNE1,1,-0.034703436661416155,0.23761957025505429,0.26602896777197316,0.44834251704991823,0.4141453849226819,0.14811641715070872,-0.03419713212723635,4.0,8.0,11.0,6.0,9.0,15.0,7.0,9.0,13.0,sec:heldout
SAP130,1,0.06415643865949751,0.39753533633285754,0.4201307694842158,0.5389285157329701,0.5166662179181046,0.09653544843388884,-0.02226229781486544,7.0,12.0,19.0,9.0,12.0,15.0,8.0,12.0,16.0,sec:heldout
FASTKD5,1,0.11354593436804127,0.5294686058419141,0.5934679417595938,0.6800637111185818,0.6029280562200935,0.009460114460499658,-0.07713565489848828,8.0,15.0,24.0,9.0,18.0,28.0,9.0,15.0,28.0,sec:heldout
DDX56,1,0.3860955244971424,0.5338132199369742,0.5678818787835945,0.5004459469661523,0.6376989040212743,0.06981702523767974,0.13725295705512197,9.0,14.0,18.0,9.0,13.0,14.0,9.0,16.0,25.0,sec:heldout
GTF2H1,1,0.3592181902389975,0.19025911652335215,0.4121342674347123,0.3364186944528713,0.4286359025758486,0.016501635141136284,0.09221720812297729,4.0,5.0,6.0,4.0,5.0,6.0,5.0,6.0,10.0,sec:heldout
NDUFA10,1,0.05896666709075129,0.3670571772683884,0.3752459460577518,0.14677809884867674,0.5267573124391866,0.15151136638143475,0.3799792135905098,4.0,11.0,14.0,2.0,3.0,7.0,7.0,12.0,18.0,sec:heldout
PARP12,1,-0.0020473046272840903,0.021400440173556082,0.32571686879503986,0.41589727379001945,0.36823549533408184,0.04251862653904198,-0.04766177845593761,5.0,9.0,16.0,6.0,7.0,15.0,3.0,9.0,18.0,sec:heldout
GINS2,1,0.2221089066947266,0.4963864763508809,0.5381525766508122,0.5903960516029835,0.6610850869177539,0.12293251026694174,0.07068903531477044,7.0,10.0,13.0,6.0,12.0,13.0,8.0,12.0,15.0,sec:heldout
