figure,panel,series,regime,context,x,value,ci95_low,ci95_high,statistic,owning_section
4,b,Drop STRING (MAP-KG only),MASKED,pooled,,-0.021053217176577016,-0.02354052860120623,-0.017724847466990157,median paired BU@20 difference vs unit-direction ridge,sec:analysis
4,c-left,RIDGE_UNIT[K562],MASKED,RPE1,0.01376470432711248,0.25150521772844076,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562@matched],MASKED,RPE1,-0.04592916650292401,0.046077498613200235,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[HepG2],MASKED,RPE1,0.16212533529971335,0.1561621905238386,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[HepG2@matched],MASKED,RPE1,0.16212533529971335,0.1561621905238386,,,"candidate-specific prediction cosine (x) vs effect-only BU@20 (y); duplicate fit, excluded from the within-context test",sec:prediction-design
4,c-left,RIDGE_UNIT[Jurkat],MASKED,RPE1,0.005824962767817657,0.24667676428782145,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[Jurkat@matched],MASKED,RPE1,-0.01125546720853515,0.21607599585882267,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+HepG2],MASKED,RPE1,0.0682421279521577,0.23361894042233072,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+HepG2@matched],MASKED,RPE1,0.020126311215655012,0.021576886852229936,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+Jurkat],MASKED,RPE1,0.02299133009203644,0.21308611450173254,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+Jurkat@matched],MASKED,RPE1,-0.049314818872811333,0.12393988231907159,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[HepG2+Jurkat],MASKED,RPE1,0.09059202254140383,0.22392554609545687,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[HepG2+Jurkat@matched],MASKED,RPE1,0.06273578319280085,0.2616304782342054,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[full],MASKED,RPE1,0.05662325637981144,0.2267946161971875,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[full@matched],MASKED,RPE1,0.007897594905906857,0.04363267150351708,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[STRING_only],MASKED,RPE1,0.04958920956470044,0.24664760884133138,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[MAPKG_only],MASKED,RPE1,0.03770253343761326,0.16393589725590763,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank64],MASKED,RPE1,0.05863547814517343,0.20327147986717609,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank128],MASKED,RPE1,0.0589615486025823,0.2203151936187298,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[rank512],MASKED,RPE1,0.05350150977970034,0.2312571245756705,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562],MASKED,HepG2,0.027967757651575022,0.3267633636675404,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562@matched],MASKED,HepG2,-0.05429401433956417,0.233876052168774,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1],MASKED,HepG2,0.12066492783288618,0.3611367436698314,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1@matched],MASKED,HepG2,0.12066492783288618,0.3611367436698314,,,"candidate-specific prediction cosine (x) vs effect-only BU@20 (y); duplicate fit, excluded from the within-context test",sec:prediction-design
4,c-left,RIDGE_UNIT[Jurkat],MASKED,HepG2,0.027396114141031075,0.2947112993323744,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[Jurkat@matched],MASKED,HepG2,0.02849378877278893,0.2670029923307054,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+RPE1],MASKED,HepG2,0.08685275629528066,0.3780427792609171,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+RPE1@matched],MASKED,HepG2,0.017861968520192693,0.21778456604185917,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+Jurkat],MASKED,HepG2,0.03957080709588369,0.3605800273675388,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[K562+Jurkat@matched],MASKED,HepG2,-0.03673393663296309,0.17827528654596753,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1+Jurkat],MASKED,HepG2,0.11450317577353489,0.3931294482153106,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
4,c-left,RIDGE_UNIT[RPE1+Jurkat@matched],MASKED,HepG2,0.09442846959796924,0.2927185607457817,,,candidate-specific prediction cosine (x) vs effect-only BU@20 (y),sec:prediction-design
